num_topics,topic_id,words
30,7,"menjuntai, ketentuannya, ujilah, disuruh, keberadaanku, penanggungnya, memulangkanmu, membeda, kasarmu, usus"
30,8,"darinya, pelajarilah, teliti, indah, berdusta, bersenang, melaksanakannya, menyelamatkannya, celaka, kanak"
30,9,"disuruh, ketentuannya, menjuntai, usus, tamatu, membeda, munajat, menghendakinya, tersurat, penghinaan"
30,10,"menjuntai, penanggungnya, usus, ketentuannya, kursi, menghijau, kit, sahayamu, bernilai, pisau"
30,11,"malaikat, pertolongan, kaumku, betapa, dirimu, perhatikanlah, menghidupkan, kuasa, adakah, pengasih"
30,12,"allah, orang, rasul, nya, muhammad, nabi, beriman, kepadamu, kitab, kufur"
30,13,"negeri, kehidupan, akhirat, dunia, azab, nama, terjerumus, siang, ingatlah, kebaikan"
30,14,"tersurat, penghinaan, ketentuannya, esok, kasarmu, kebaikannya, ketampanannya, sahayamu, nyalanya, putuskanlah"
30,15,"kit, hadapan, dirajam, khamar, delima, lak, teruskanlah, mementingkan, usus, ketentuannya"
30,16,"allah, orang, nya, beriman, sungguh, benar, laki, rasul, berbuat, nabi"
30,17,"allah, kepadamu, rasul, ayat, kitab, beriman, muhammad, nabi, orang, karunia"
30,18,"ketentuannya, masih, kursi, memulangkanmu, mengurus, duduklah, tersurat, mengangan, usus, penghinaan"
30,19,"orang, allah, muhammad, nabi, zalim, nya, kepada, kepadamu, beriman, laki"
30,20,"musa, salat, israil, azab, mengambil, bani, kaum, perkasa, jahanam, tuhanku"
30,21,"sungguh, engkau, membawa, muhammad, urusan, takut, tanda, kaum, nabi, alquran"
30,22,"orang, beriman, allah, jalan, kufur, pahala, kepadamu, berbuat, nabi, perempuan"
30,23,"ketentuannya, esok, dirahasiakan, tersurat, keberadaanku, dituduhkan, petani, memulangkanmu, usus, mengangan"
30,24,"allah, beriman, engkau, ayat, orang, muhammad, kepadamu, nabi, kitab, hamba"
30,25,"kaum, langit, bumi, akhirat, tanda, mengikuti, bagimu, musyrik, tuhanku, setan"
30,26,"ketentuannya, engkaukah, penanggungnya, usus, dianugerahkannya, sisinya, tamatu, dituduhkan, menjuntai, tiada"
30,27,"orang, allah, beriman, setan, rasul, jalan, berbuat, kafir, muhammad, manusia"
30,28,"orang, allah, beriman, mukmin, perempuan, laki, rasul, nya, jalan, kafir"
30,29,"tuhanmu, tuhanku, aman, ketahui, menghidupkan, peringatan, mendengar, takut, perkasa, mengutus"
35,0,"mengindahkanmu, kesudahannya, kobarkanlah, walinya, maulamu, takuti, mengqasar, dipaksa, nanti, sentosa"
35,1,"bersuami, kesudahannya, ketenangan, megahan, menikahinya, mengkhianatimu, menolongnya, diperangi, kecantikannya, kobarkanlah"
35,2,"allah, rasul, kepadamu, sungguh, kitab, nabi, nya, muhammad, bagimu, benar"
35,3,"berburu, keenamnya, keindahannya, maulamu, kobarkanlah, kefasikan, disabit, mempergauli, kecantikannya, menamai"
35,4,"nuh, kewajiban, menyuramkan, dizalimi, mudahan, dibinasakan, tenung, mudah, menakwilkan, khawatir"
35,5,"maha, bumi, nya, langit, penyayang, pengampun, tanda, perkasa, allah, kebesaran"
35,6,"buruk, orang, kufur, seburuk, balasan, saleh, harta, kebaikan, neraka, azab"
35,7,"megahan, airmu, gigi, kecantikannya, kerudung, status, mengindahkanmu, disurutkan, dibimbing, mengering"
35,8,"kelak, jin, kaumnya, mengingkari, nikmat, dustakan, janji, israil, mempersekutukan, nyata"
35,9,"bumi, kekuasaan, tuhan, tuhanku, menjadikan, engkau, berfirman, hamba, tuhanmu, nya"
35,10,"kepada, tuhan, pemberi, tuhanmu, tanda, muhammad, kebesaran, mengutus, nyata, nabi"
35,11,"orang, beriman, allah, perempuan, mukmin, niscaya, jalan, laki, anak, ayat"
35,12,"tuhan, bumi, langit, engkau, menurunkan, muhammad, kepada, nya, benar, allah"
35,13,"allah, orang, nya, beriman, laki, rasul, perempuan, sungguh, jalan, nabi"
35,14,"zalim, saleh, siksaan, benar, buruk, jadikan, balasan, berbuat, fir, kebaikan"
35,15,"kefasikan, mengqasar, penipuan, tulisannya, diharapkan, maulamu, berputar, senjata, menumpukkan, status"
35,16,"maha, bumi, langit, penyayang, bijaksana, perkasa, tuhan, nya, suci, rahmat"
35,17,"jelajahilah, mengkhianatimu, sekejap, menamakan, zihar, serendah, bersamaan, dapatkan, lupakan, meyakininya"
35,18,"berkuda, senjata, kesudahannya, mempergauli, sentosa, tawarkan, kerudung, bertabayunlah, berwenang, kesejukan"
35,19,"langit, milik, nyalah, bumi, matahari, siang, bagi, semesta, tuhan, bijaksana"
35,20,"kaum, aun, qub, yusuf, fir, salat, kekufuran, ya, ketetapan, zalim"
35,21,"orang, zalim, beriman, akhirat, kafir, mukmin, dunia, surga, neraka, golongan"
35,22,"benar, membawa, kerjakan, ketahuilah, tuhannya, anugerahkan, perselisihkan, menyebabkan, kaumnya, malaikat"
35,23,"bahagia, setipis, kalungkan, mengamankan, bertanyalah, ari, arahmu, calon, bersamaan, mewujudkannya"
35,24,"azab, kesesatan, menyembah, anugerahkan, nyata, baik, musyrik, kebanyakan, negeri, pemimpin"
35,25,"orang, allah, beriman, laki, kitab, perempuan, anak, rasul, saudara, berbuat"
35,26,"takut, dunia, buruk, perbuatan, dalamnya, sungguh, kerusakan, kekufuran, kebanyakan, negeri"
35,27,"senjata, megahan, kesudahannya, kecantikannya, calon, menamai, kena, percakapkan, persahabatannya, mengamankan"
35,28,"allah, kepadamu, nabi, muhammad, nya, engkau, bagimu, alquran, manusia, tanda"
35,29,"allah, nabi, nya, ku, hamba, muhammad, rasul, manusia, mengikuti, karunia"
35,30,"tuhanmu, ditimpa, engkau, bertobat, urusan, manusia, niscaya, benar, sungguh, janji"
35,31,"orang, kafir, mukmin, kitab, beriman, ayat, jalan, laki, neraka, perempuan"
35,32,"megahan, mengindahkanmu, berburu, kesudahannya, sukarela, menumpukkan, walinya, cemas, persahabatannya, kecantikannya"
35,33,"orang, mukmin, beriman, jalan, kufur, ayat, kafir, buruk, pahala, akhirat"
35,34,"ayat, nabi, mukmin, kepadamu, zalim, muhammad, dunia, orang, jalan, allah"
40,0,"talak, badanmu, penenteraman, mantan, dilekatkan, sai, membantahku, mengimani, ruhulkudus, kecantikannya"
40,1,"membantahku, penebus, gigi, mewajibkannya, menukarkannya, ruhulkudus, diinginkannya, jumlahmu, menakjubkanmu, mengalahkanmu"
40,2,"maha, bumi, nya, kepada, nabi, engkau, bagimu, langit, kehendaki, kepadamu"
40,3,"gigi, jumlahmu, menakjubkanmu, membantahku, kesalehan, uzur, zaman, kusta, ditimpakannya, sai"
40,4,"membantahku, gantilah, ruginya, bermunculan, diinginkannya, berdalih, mulah, sai, kesalehan, gigi"
40,5,"gigi, penebus, penghayatan, mewajibkannya, jumlahmu, menakjubkanmu, membantahku, kal, waktumu, akbar"
40,6,"selebar, tersurat, kesalehan, sepertimu, uzair, ilaihi, membantahku, penerang, teratur, memasrahkan"
40,7,"saksi, ku, ingatlah, kepada, benar, rezeki, alquran, sungguh, rahmat, engkau"
40,8,"orang, zalim, kufur, berbuat, kafir, akhirat, sungai, beriman, berperang, azab"
40,9,"adakannya, mewajibkannya, membantahku, sai, penebus, perniagaan, khawatirkan, rahbaniah, dilekatkan, kalimatullah"
40,10,"mewajibkannya, susah, sepadan, sifatnya, membantahku, rahbaniah, dijadikan, najis, mengambilmu, kesenangan"
40,11,"orang, nya, allah, beriman, rasul, nabi, ayat, sungguh, kitab, muhammad"
