num_topics,topic_id,words
25,10,"tujuh, orang, yusuf, tuhanku, engkau, orang-orang, kepadaku, sapi, setan, kepadamu, pohon, tipu, sungguh, salah, daya"
25,11,"allah, manusia, jin, tuhanmu, daging, setan, adam, manakah, nikmat, hewan, berfirman, nama, darah, air, pohon"
25,12,"kaum, orang-orang, allah, engkau, negeri, benar-benar, sungguh, penduduk, azab, kaumku, bumi, musa, orang, kepadamu, nyata"
25,13,"engkau, musa, fir'aun, orang, israil, bani, tuhan, benar-benar, yusuf, membawa, makanan, aun, kaum, tuhanmu, fir"
25,14,"allah, maha, orang, orang-orang, harta, istri, dosa, perempuan, anak, saksi, patut, mahar, kesaksian, kafir, suami"
25,15,"malam, siang, allah, tanda-tanda, matahari, kebesaran, menjadikan, engkau, tuhanmu, kaum, benar-benar, langit, kekuasaan, tanda, bumi"
25,16,"allah, orang-orang, orang, petunjuk, engkau, jalan, nabi, muhammad, menjadikan, manusia, mengikuti, kehendaki, sesat, lurus, hati"
25,17,"allah, orang-orang, salat, bagimu, beriman, kepadamu, rezeki, maha, zakat, melaksanakan, orang, dosa, malam, hamba, miskin"
25,18,"allah, kepadamu, ingatlah, manusia, benar-benar, sungguh, orang-orang, engkau, orang, karunia, berfirman, ibrahim, maha, mengajarkan, niscaya"
25,19,"perempuan, laki-laki, allah, anak-anak, saudara, bagimu, rumah, hamba, sahaya, perempuan-perempuan, orang-orang, maha, beriman, saudara-saudara, orang"
25,20,"allah, orang-orang, engkau, beriman, kepadamu, nabi, maha, kafir, hati, muhammad, niscaya, azab, seandainya, orang, mukmin"
25,21,"bumi, allah, langit, air, hujan, mati, tanda-tanda, menciptakan, manusia, menjadikan, kebesaran, mengeluarkan, ternak, kaum, benar-benar"
25,22,"maha, allah, bumi, langit, tuhan, penyayang, kehendaki, perkasa, pengampun, bijaksana, tuhanmu, muhammad, nabi, kepada-nya, menciptakan"
25,23,"allah, orang-orang, tuhan, ibrahim, kepada-nya, agama, golongan, ingatlah, beriman, kabar, maha, alam, takut, gembira, kepadamu"
25,24,"orang-orang, allah, azab, sungguh, kafir, beriman, kufur, nabi, zalim, benar-benar, tipu, orang, muhammad, pedih, dunia"
30,0,"allah, orang-orang, azab, orang, kufur, bumi, maha, sungguh, dosa, kafir, berbuat, pedih, kiamat, ayat-ayat, zalim"
30,1,"perempuan, allah, orang-orang, laki-laki, hamba, sahaya, mukmin, perempuan-perempuan, beriman, kafir, orang, maha, suami, kaum, keji"
30,2,"perempuan, laki-laki, allah, saudara, rumah, anak-anak, anak, saudara-saudara, bagimu, ibumu, menjadikan, ayah, orang, kepadamu, miliki"
30,3,"allah, orang-orang, azab, kepadamu, orang, balasan, berbuat, kerjakan, neraka, surga, amal, beriman, tuhanmu, kiamat, saleh"
30,4,"allah, orang-orang, orang, berbuat, beriman, salat, harta, jalan, kebaikan, zakat, kepadamu, rezeki, miskin, pahala, rasul"
30,5,"allah, maha, engkau, bumi, langit, tuhan, nabi, tuhanmu, petunjuk, kepada-nya, muhammad, kehendaki, menciptakan, menjadikan, manusia"
30,6,"orang-orang, neraka, surga, dalamnya, allah, kekal, sungai-sungai, beriman, mengalir, bawahnya, tuhan, azab, api, beramal, saleh"
30,7,"allah, orang-orang, salat, engkau, nabi, kabar, gembira, takut, ibrahim, kepadamu, orang, ingatlah, muhammad, anak, harta"
30,8,"allah, orang-orang, tipu, daya, engkau, nabi, muhammad, orang, niscaya, keras, sungguh, kafir, azab, dunia, negeri"
30,9,"orang-orang, kitab, alquran, allah, kepadamu, engkau, benar-benar, orang, sungguh, nabi, muhammad, suci, beriman, petunjuk, manusia"
30,10,"allah, malam, siang, maha, tanda-tanda, menjadikan, bersyukur, manusia, bagimu, matahari, tuhanmu, kebesaran, mencari, benar-benar, untukmu"
30,11,"engkau, kepadamu, ingatlah, tuhanmu, manusia, jin, berfirman, nikmat, musa, orang, manakah, allah, tujuh, burung, kepadaku"
30,12,"allah, maha, bumi, orang-orang, langit, muhammad, nabi, kepadamu, hati, tuhanmu, urusan, menjadikan, malaikat, kepada-nya, azab"
30,13,"allah, kepadamu, orang-orang, maryam, isa, tuhan, putra, ingatlah, perjanjian, membunuh, membawa, alam, api, semesta, melanggar"
30,14,"engkau, tuhanku, yusuf, maha, tuhan, kepadaku, berdoa, orang, anak, musa, allah, makanan, saudaranya, orang-orang, raja"
30,15,"allah, nabi, muhammad, kepadamu, sungguh, benar-benar, engkau, rasul, orang-orang, membawa, musa, nyata, kitab, kebenaran, alquran"
30,16,"bumi, langit, air, allah, hujan, mati, tanda-tanda, kebesaran, menurunkan, benar-benar, angin, rezeki, kaum, menjadikan, awan"
30,17,"nabi, muhammad, allah, orang-orang, alquran, engkau, kepadamu, beriman, diturunkan, peringatan, kitab, manusia, pemberi, rasul, maha"
30,18,"allah, hewan, bagimu, maha, orang-orang, nama, ternak, kepadamu, ketentuan, daging, beriman, patut, batas, orang, istri"
30,19,"allah, orang-orang, orang, israil, engkau, fir'aun, musa, bani, saksi, bumi, berbuat, laki-laki, fir, aun, bala"
30,20,"maha, allah, penyayang, pengampun, bijaksana, perkasa, kehendaki, orang-orang, kepadamu, niscaya, bumi, tuhan, beriman, tuhanmu, tobat"
30,21,"orang-orang, kaum, engkau, negeri, azab, allah, beriman, fir'aun, benar-benar, zalim, orang, penduduk, kaumnya, sungguh, musa"
30,22,"allah, wajib, air, maha, orang, sakit, berpuasa, haji, perjalanan, penglihatan, hati, bagimu, debu, mata, golongan"
30,23,"allah, orang-orang, beriman, agama, orang, setan, kafir, jalan, golongan, menjadikan, petunjuk, mengikuti, musyrik, yahudi, zalim"
30,24,"allah, orang-orang, nabi, kepadamu, engkau, muhammad, tuhan, manusia, tuhanmu, dunia, orang, kiamat, kufur, rezeki, azab"
30,25,"orang-orang, allah, dunia, kehidupan, akhirat, orang, azab, neraka, benar-benar, beriman, kiamat, menjadikan, jahanam, sungguh, manusia"
30,26,"anak, harta, orang, musa, perempuan, saudara, allah, laki-laki, kepadamu, sapi, anak-anak, ditinggalkan, ingatlah, berfirman, tuhanmu"
30,27,"orang-orang, allah, engkau, nabi, muhammad, orang, petunjuk, beriman, kepadamu, kafir, niscaya, hati, sungguh, mengikuti, kebenaran"
30,28,"allah, manusia, jadikan, air, benar-benar, daging, ditentukan, kepadamu, tanah, mani, menjadikan, seandainya, menciptakan, umat, maha"
30,29,"allah, orang-orang, berperang, kepadamu, beriman, niscaya, benar-benar, orang, sungguh, jalan, mukmin, maha, perang, manusia, rasul-nya"
35,0,"allah, bumi, cahaya, orang-orang, ingatlah, orang, dalamnya, pohon, langit, perjanjian, taurat, perumpamaan, suci, pelita, tumbuh"
35,1,"air, langit, bumi, hujan, allah, menurunkan, mati, engkau, angin, menjadikan, manusia, tanah, kering, awan, dengannya"
35,2,"allah, manusia, maha, tuhanmu, ingatlah, kepadamu, api, malaikat, ibrahim, orang-orang, ampunan, engkau, berfirman, orang, menjadikan"
35,3,"allah, muhammad, nabi, tuhan, orang-orang, engkau, kepada-nya, langit, bumi, manusia, kepadamu, sungguh, malaikat, kepadaku, menjadikan"
35,4,"orang-orang, allah, beriman, orang, nabi, muhammad, azab, sungguh, kafir, rasul-nya, benar-benar, mukmin, kufur, musyrik, agama"
35,5,"allah, haji, wajib, orang-orang, berpuasa, perjalanan, orang, hewan, sakit, suci, hadyu, air, manusia, bagimu, beriman"
35,6,"allah, hewan, nama, daging, ternak, batas, disembelih, bagimu, kepadamu, maha, orang, melampaui, untukmu, diharamkan, makanlah"
