num_topics,topic_id,words
30,10,"musa, menganugerahkan, sesat, orang-orang, ingkar, berlindung, beruntung, petunjuk, tuhannya, mendaki, rapat, kitab, taurat, setia, rahmat"
30,11,"fir'aun, tinggal, hidup, panas, rumah, kesulitan, gunung-gunung, bacalah, dahsyat, laut, menyelamatkan, ditentukan, tertutup, dikeluarkan, mati"
30,12,"benar-benar, sungguh, rasul, membawa, kepadamu, membinasakan, musa, saksi, bukti-bukti, orang, penduduk, rasul-rasul, mengutus, nyata, pendusta"
30,13,"tahukah, harta, orang, darinya, anak, mata, perkataan, kanan, mengumpulkan, menjadikan, yusuf, istrinya, terang, istri, kiri"
30,14,"golongan, orang-orang, ayat-ayat, mendustakan, kufur, orang, mulia, gembira, kabar, makan, perumpamaan, kali, rezeki, kafir, menyeru"
30,15,"nabi, engkau, muhammad, alquran, allah, kepadamu, orang-orang, tipu, tuhan, daya, rasul, niscaya, menjadikan, orang, duha"
30,16,"allah, beserta, nenek, orang, sepasang, menerima, moyang, kebiasaan, raja, rasul, mengikuti, bala, kelak, rahmat, menutupi"
30,17,"air, tanah, matahari, manakah, dengannya, mati, jadikan, hujan, buah, batu, menurunkan, pohon, fitnah, darimu, terbit"
30,18,"ibrahim, takut, kepadaku, celakalah, tangan, kepadamu, allah, tuhanku, binasa, ketetapan, dengan-nya, ingatlah, anugerahkan, diwahyukan, ya'qub"
30,19,"berfirman, ingatlah, kepada-nya, allah, tuhanmu, tuhannya, negeri, rida, sisi, kepadamu, engkau, takut, kubur, aman, makkah"
30,20,"neraka, dalamnya, balasan, surga, orang-orang, bertakwa, kekal, jahanam, masuk, sungai-sungai, mengalir, kenikmatan, bawahnya, berbuat, penghuni"
30,21,"orang-orang, allah, zalim, batas, malaikat, kerjakan, melampaui, azab, orang, berbuat, kufur, rugi, berdosa, jibril, menyuruh"
30,22,"beriman, orang-orang, kebenaran, kaum, saleh, mendustakan, allah, unta, beramal, kelak, betina, alquran, disebabkan, tuhan, samud"
30,23,"manusia, menciptakan, jin, tuhan, makhluk, alam, atasnya, semesta, penciptaan, kepada-nya, kebanyakan, dibangkitkan, niscaya, penglihatan, ketaatan"
30,24,"orang, api, kebaikan, neraka, miskin, cahaya, untukmu, berlaku, timbangan, tuhanmulah, seburuk-buruk, berat, masuk, makan, betapa"
30,25,"allah, orang-orang, ahlulkitab, urusan, musyrik, bukti, orang, nyata, izin, meninggalkan, kekufuran, pelindung, kufur, biarkanlah, mengeluarkan"
30,26,"allah, yatim, anak, perang, memiliki, milik, menyala-nyala, keburukan, mengampuni, bertakwalah, hubungan, bertobat, amal, harta, sewenang-wenang"
30,27,"laki-laki, perempuan, perbuatan, hamba, terbaik, memanggil, anak-anak, wahyu, kelak, keji, sahaya, tuhan-tuhan, sempurna, dosa-dosanya, memerintahkan"
30,28,"bumi, allah, langit, maha, nikmat, tanda-tanda, menjadikan, tuhan, kebesaran, menciptakan, allahlah, kekuasaan, teliti, bersyukur, isi"
30,29,"dosa, allah, mencari, berkuasa, memasuki, dirimu, kerugian, melindungi, menolong, hatimu, perbuat, bertasbih, bagimu, kebohongan, hati"
35,0,"orang, kejahatan, allah, baginya, hartanya, miskin, setan, kikir, makan, gelap, gulita, berbuat, menginfakkan, bertakwa, salam"
35,1,"tuhannya, sisi, bukti, keras, kebajikan, menyeru, dahsyat, bertobat, engkau, tobat, takut, pergi, penerima, kepada-nya, adakah"
35,2,"hati, mendengar, allah, perkataan, memanggil, pendusta, takut, kitab-kitab, gunung, menghilangkan, penglihatan, kepadamu, kenabian, mempersekutukan, sinai"
35,3,"alquran, kitab, allah, sembah, diturunkan, menganugerahkan, suci, kepadamu, menurunkan, rasul, taurat, melapangkan, membenarkan, jibril, petunjuk"
35,4,"allah, agama, rasul, unta, betina, kemenangan, penyembah, membawa, bukti-bukti, kepada-nya, saleh, tanda, mukjizat, musim, biarkanlah"
35,5,"maha, allah, penyayang, perkasa, pengampun, bijaksana, makhluk, pengasih, suci, tuhan, hamba-hamba-nya, izin, mengatur, menolongnya, tuhanmu"
35,6,"kiamat, allah, orang-orang, takut, azab, janji, dustakan, dijanjikan, darimu, hati, kepadamu, bersedih, dirimu, taat, malaikat-malaikat"
35,7,"nama, memiliki, makanan, kesulitan, perempuan-perempuan, seberat, tuhanmu, indah, menyebut, hubungan, subuh, kencang, berilah, pergilah, bagimu"
35,8,"jalan, musa, lurus, penyihir, ternak, kepadamu, tertutup, beban, menempuh, kaumku, harun, dipintal, ubun-ubunnya, tuhanku, hewan-hewan"
35,9,"orang-orang, kafir, azab, mendustakan, orang, ayat-ayat, pedih, atasnya, manakah, ditimpa, berita, istrinya, buruk, zalim, kesudahan"
